videoId	frameIndex	PDExtractorID	OFExtractorID	numBoxes	numChildRoIs	numParentRoIs	inferenceFrameSize	inferenceDevice	enqueueTime	fullInferenceStartTime	fullInferenceEndTime	pixelDiffRoIProcessStartTime	pixelDiffRoIProcessEndTime	opticalFlowRoIProcessStartTime	opticalFlowRoIProcessEndTime	resizeStartTime	resizeEndTime	mergeRoIStartTime	mergeRoIEndTime	mixingStartTime	mixingEndTime	mixedInferenceStartTime	mixedInferenceEndTime	reconstructStartTime	reconstructEndTime	endTime
0	1095	1	1	31	34	21	832	0	4453442	0	0	4455002	4457300	32492711	32498179	32498321	32498450	32498450	32498699	36224661	36236344	39993296	41189255	41257016	41260592	41266768
0	1096	1	1	30	34	21	832	0	4474733	0	0	4475945	4478398	32499900	32505191	32505315	32505417	32505418	32505664	36224661	36236344	39993296	41189255	41257016	41260592	41266777
0	1097	0	1	32	35	22	832	0	4493631	0	0	4495448	4498265	32506891	32512060	32512215	32512344	32512344	32512643	36224661	36236344	39993296	41189255	41257016	41260592	41266787
0	1098	0	1	32	35	22	832	0	4516560	0	0	4518859	4523097	32513949	32519518	32519696	32519847	32519847	32520134	36224661	36236344	39993296	41189255	41257016	41260592	41266796
0	1099	0	1	29	35	22	832	0	4552486	36242120	37438486	4553626	4556731	32521406	32527350	32527473	32527574	32527574	32527854	36224661	36236344	0	0	0	0	41266806
0	1100	0	0	35	31	24	832	0	4600397	0	0	4602014	4606871	37475544	37481482	37481658	37481762	37481763	37482041	41277939	41290418	45030654	46227490	46282183	46284505	46289224
0	1101	1	0	36	31	24	832	0	4620362	0	0	4621492	4625178	37485087	37497563	37497742	37497890	37497891	37498176	41277939	41290418	45030654	46227490	46282183	46284505	46289232
0	1102	1	0	34	31	24	832	0	4670890	0	0	4674290	4678671	37500161	37506812	37506971	37507075	37507076	37507328	41277939	41290418	45030654	46227490	46282183	46284505	46289240
0	1103	1	0	31	32	25	832	0	4708736	0	0	4710105	4714484	37509056	37514679	37514809	37514916	37514916	37515204	41277939	41290418	45030654	46227490	46282183	46284505	46289248
0	1104	1	0	33	32	25	832	0	4740764	0	0	4742763	4746855	37517020	37522461	37522608	37522723	37522724	37523003	41277939	41290418	45030654	46227490	46282183	46284505	46289256
0	1105	1	0	34	32	26	832	0	4772355	0	0	4774120	4776742	37524824	37530978	37531151	37531279	37531280	37531526	41277939	41290418	45030654	46227490	46282183	46284505	46289264
0	1106	1	0	35	33	24	832	0	4802033	0	0	4804596	4808815	37533198	37538571	37538695	37538788	37538788	37539069	41277939	41290418	45030654	46227490	46282183	46284505	46289272
0	1107	1	0	39	34	24	832	0	4834816	0	0	4836251	4839739	37540561	37545959	37546076	37546177	37546177	37546483	41277939	41290418	45030654	46227490	46282183	46284505	46289280
0	1108	1	0	39	34	24	832	0	4853938	0	0	4856375	4862959	37547970	37553458	37553581	37553686	37553686	37553980	41277939	41290418	45030654	46227490	46282183	46284505	46289289
0	1109	0	0	33	35	25	832	0	4883596	41296302	42495334	4884799	4887800	37555490	37561031	37561158	37561260	37561260	37561581	41277939	41290418	0	0	0	0	46289298
0	1110	0	0	32	32	18	832	0	4901937	0	0	4904280	4906703	42532457	42542439	42542560	42542667	42542667	42542992	46297719	46306885	50064289	51262567	51304205	51304692	51309743
0	1111	1	1	32	33	18	832	0	4934969	0	0	4936892	4938903	42544462	42556522	42556680	42556818	42556819	42557164	46297719	46306885	50064289	51262567	51304205	51304692	51309753
